local_designation|rb_factor_catalogue|ps1_designation|sherlock_distancempc|dec_psf|sherlock_host_ra|psf_inst_mag_sig|cal_psf_mag|sherlockClassification|detection_list_id|sherlock_object_id|filter|rb_factor_image|sherlock_tables|followup_flag_date|sherlock_specz|tns_name|ra_psf|id|sherlock_host_dec|target|ref|diff|mjd_obs
11KYSEhrw|0.511714|PS21lty||10.123300872765283|318.65546200800003|0.0741249|20.1045|SN|GOOD|1237656241691165702|i|0.938731|SDSS/PS1|2021-11-01||2021aczb|318.65550592235735|1211437321100723900|10.123509542|1211437321100723900_59519.282_121000098_1140_target|1211437321100723900_59519.282_121000098_1140_ref|1211437321100723900_59519.282_121000098_1140_diff|59519.2827803004
11KYSEhsn|0.468199|PS21lug|985.708024|43.270874846944935|131.5887494144073|0.124683|20.678|SN|GOOD|1237657608038383843|r|0.988477|SDSS/PS1|2021-11-01|0.201032|2021aczi|131.58770404353717|1084621031431615000|43.271242998954285|1084621031431615000_59519.636_121036130_245_target|1084621031431615000_59519.636_121036130_245_ref|1084621031431615000_59519.636_121036130_245_diff|59519.6365812455
11KYSEhrs|0.0962869|PS21luf||17.848256703770524|7.102588906|0.146726|21.1875|SN|GOOD|129410071025637303|g|0.783245|PS1|2021-11-01||2021aczh|7.102088834021598|1002824481175053600|17.847452206|1002824481175053600_59519.277_120997626_346_target|1002824481175053600_59519.277_120997626_346_ref|1002824481175053600_59519.277_120997626_346_diff|59519.2776366737
11KYSEhru|0.181419|PS21ltx||24.68421645373879|357.2871004754739|0.166764|20.6616|SN|GOOD|1237678541165101420|r|0.854381|SDSS/PS1|2021-11-01||2021acza|357.2869174269516|1234908851244103100|24.684190116991473|1234908851244103100_59519.270_120995519_334_target|1234908851244103100_59519.270_120995519_334_ref|1234908851244103100_59519.270_120995519_334_diff|59519.2701477813
11KYSEhsk|0.996195|PS21lub||49.3495253631714|132.220875|0.0535498|19.8016|NT|GOOD|SDSSJ084853.01+492059.0|r|0.999267|NED|2021-11-01||2021aczd|132.22113337652397|1084853071492058300|49.34975|1084853071492058300_59519.637_121036202_151_target|1084853071492058300_59519.637_121036202_151_ref|1084853071492058300_59519.637_121036202_151_diff|59519.6370221948
11KYSEhsd|0.26021|||-4.541729081805335|52.06694357053433|0.246855|20.999|UNCLEAR|POSSIBLE|S1TR000527|i|0.595578|GSC/PS1|2021-11-01|||52.06697397060256|1032816080043230500|-4.541774224229706|1032816080043230500_59519.567_121029246_253_target|1032816080043230500_59519.567_121029246_253_ref|1032816080043230500_59519.567_121029246_253_diff|59519.5679646829
11KYSEhsg|0.864988|||-3.9846189787688164|49.40370117|0.0990879|20.0795|SN|POSSIBLE|103210494037247267|i|0.857014|PS1|2021-11-01|||49.40366662410875|1031736870035904400|-3.985849598|1031736870035904400_59519.567_121029149_222_target|1031736870035904400_59519.567_121029149_222_ref|1031736870035904400_59519.567_121029149_222_diff|59519.5670976251
11KYSEhro|0.0492914|||8.40583911331596|321.21377437759827|0.153516|21.1155|SN|POSSIBLE|1237678875635548318|i|0.719745|SDSS|2021-11-01|||321.21271305795835|1212451051082421000|8.406972004268777|1212451051082421000_59519.283_121000824_1391_target|1212451051082421000_59519.283_121000824_1391_ref|1212451051082421000_59519.283_121000824_1391_diff|59519.2836678302
11KYSEhrj|0.0726905|||10.383313503805947|318.052264956|0.126907|20.9807|SN|POSSIBLE|120463180522631570|i|0.442842|PS1|2021-11-01|||318.05231914275134|1211212551102259800|10.384266002|1211212551102259800_59519.282_121000105_1484_target|1211212551102259800_59519.282_121000105_1484_ref|1211212551102259800_59519.282_121000105_1484_diff|59519.2827803004
11KYSEhrv|0.202629|||14.608951738510143|318.65605399|0.116195|20.7867|SN|POSSIBLE|125523186560379442|i|0.880637|PS1|2021-11-01|||318.6568624056223|1211437631143632200|14.607423954|1211437631143632200_59519.283_121000819_1364_target|1211437631143632200_59519.283_121000819_1364_ref|1211437631143632200_59519.283_121000819_1364_diff|59519.2832169486
11KYSEhrr|0.404218|||13.744073233745318||0.134158|21.002|ORPHAN|POSSIBLE||i|0.772187||2021-11-01|||318.8584839236071|1211526031134438500||1211526031134438500_59519.283_121000805_1801_target|1211526031134438500_59519.283_121000805_1801_ref|1211526031134438500_59519.283_121000805_1801_diff|59519.2832169486
11KYSEhrm|0.198892|||13.163049156031706|317.52136214|0.163421|21.4011|SN|POSSIBLE|123793175214056220|i|0.562328|PS1|2021-11-01|||317.52138679067605|1211005141130946900|13.1630919825|1211005141130946900_59519.283_121000792_2120_target|1211005141130946900_59519.283_121000792_2120_ref|1211005141130946900_59519.283_121000792_2120_diff|59519.2832169486
11KYSEhrz|0.349171||554.718713|20.0126453885124|359.755313788|0.273199|21.5672|SN|POSSIBLE|2MASXJ23590130+2000394|g|0.996155|NED/SDSS/2MASS/PS1|2021-11-01|0.119007||-0.24503009918974358|1235901191200045500|20.010967142000002|1235901191200045500_59519.276_120996718_357_target|1235901191200045500_59519.276_120996718_357_ref|1235901191200045500_59519.276_120996718_357_diff|59519.2762598
11KYSEhrx|0.49856|||17.09362900740559|2.770882812|0.227156|21.0881|SN|POSSIBLE|128510027709003345|g|0.983029|PS1|2021-11-01|||2.7710976465495794|1001105061170536900|17.094084082|1001105061170536900_59519.276_120996777_186_target|1001105061170536900_59519.276_120996777_186_ref|1001105061170536900_59519.276_120996777_186_diff|59519.2767172121
11KYSEhrt|0.198466|||27.280991691335274||0.0688923|20.17|ORPHAN|POSSIBLE||r|0.802216||2021-11-01|||3.1891096620890735|1001245381271651700||1001245381271651700_59519.271_120995675_395_target|1001245381271651700_59519.271_120995675_395_ref|1001245381271651700_59519.271_120995675_395_diff|59519.271484214
11KYSEhrh|0.257687|||20.516717710391823|6.981664588|0.17765|21.1631|SN|POSSIBLE|1237679504321741249|g|0.430191|SDSS/PS1|2021-11-01|||6.982368336118695|1002755771203100200|20.516725732|1002755771203100200_59519.278_120997680_263_target|1002755771203100200_59519.278_120997680_263_ref|1002755771203100200_59519.278_120997680_263_diff|59519.2780884476
11KYSEhrl|0.411989|||27.48108566162761|6.36661259924756|0.192141|21.2989|SN|POSSIBLE|1237678790272876683|r|0.524617|SDSS/PS1|2021-11-01|||6.36541544773376|1002527691272851900|27.48342816944118|1002527691272851900_59519.272_120995771_446_target|1002527691272851900_59519.272_120995771_446_ref|1002527691272851900_59519.272_120995771_446_diff|59519.2723979588
11KYSEhri|0.191728|||25.23015265632795||0.124581|21.0509|ORPHAN|POSSIBLE||r|0.432022||2021-11-01|||7.08926423654442|1002821431251348400||1002821431251348400_59519.271_120995754_457_target|1002821431251348400_59519.271_120995754_457_ref|1002821431251348400_59519.271_120995754_457_diff|59519.2719519348
11KYSEhry|0.856582|||27.64618214776955|2.886329626|0.112108|20.184|SN|POSSIBLE|141170028864417826|r|0.985947|PS1|2021-11-01|||2.886931700095114|1001132861273846300|27.647750686|1001132861273846300_59519.271_120995681_274_target|1001132861273846300_59519.271_120995681_274_ref|1001132861273846300_59519.271_120995681_274_diff|59519.271484214
11KYSEhsb|0.946645|||27.614998835324457|2.86238415|0.117677|20.2585|SN|POSSIBLE|1237680276871643570|r|0.999243|SDSS/PS1|2021-11-01|||2.8597329134696725|1001126321273654000|27.614535356|1001126321273654000_59519.271_120995681_283_target|1001126321273654000_59519.271_120995681_283_ref|1001126321273654000_59519.271_120995681_283_diff|59519.271484214
11KYSEhrq|0.165256|||28.697262124209004|2.735391653414581|0.104078|20.8498|SN|POSSIBLE|1237678791882047911|r|0.750794|SDSS/PS1|2021-11-01|||2.7354843915404086|1001056511284150100|28.69715924115571|1001056511284150100_59519.271_120995699_512_target|1001056511284150100_59519.271_120995699_512_ref|1001056511284150100_59519.271_120995699_512_diff|59519.271484214
11KYSEhrp|0.245643|||11.991380525613838||0.131332|20.9533|ORPHAN|POSSIBLE||i|0.72869||2021-11-01|||321.0775222137737|1212418601115928800||1212418601115928800_59519.284_121003030_1668_target|1212418601115928800_59519.284_121003030_1668_ref|1212418601115928800_59519.284_121003030_1668_diff|59519.28411
11KYSEhsc|0.721693||162.35352|10.368201092214687|324.822723|0.0701711|20.1935|SN|POSSIBLE|2MASXJ21391745+1021470|i|0.649628|NED/SDSS/2MASS/PS1|2021-11-01|0.036869||324.82569549140965|1213918171102205400|10.36307|1213918171102205400_59519.284_121000902_752_target|1213918171102205400_59519.284_121000902_752_ref|1213918171102205400_59519.284_121000902_752_diff|59519.2845724583
11KYSEhsa|0.738354|||13.436492741473497|321.527609186|0.0597849|20.2975|UNCLEAR|POSSIBLE|124123215276084083|i|0.998377|PS1|2021-11-01|||321.52760992424396|1212606631132611300|13.436319324000001|1212606631132611300_59519.284_121003062_895_target|1212606631132611300_59519.284_121003062_895_ref|1212606631132611300_59519.284_121003062_895_diff|59519.28411
11KYSEhse|0.45084|||-4.551890642415314|52.088987216|0.139178|20.3101|SN|POSSIBLE|102530520889319325|i|0.562808|PS1|2021-11-01|||52.090082880306504|1032821610043306600|-4.550863432|1032821610043306600_59519.567_121029246_228_target|1032821610043306600_59519.567_121029246_228_ref|1032821610043306600_59519.567_121029246_228_diff|59519.5679646829
11KYSEhsi|0.471268|||-0.4076598399329846||0.107794|20.1898|ORPHAN|POSSIBLE||i|0.890678||2021-11-01|||45.32452257333032|1030117880002427400||1030117880002427400_59519.569_121029418_141_target|1030117880002427400_59519.569_121029418_141_ref|1030117880002427400_59519.569_121029418_141_diff|59519.569273072
11KYSEhsh|0.763149|||-2.1206991871096665|51.628270626|0.144959|20.4997|SN|POSSIBLE|105450516282565546|i|0.999718|PS1|2021-11-01|||51.62928368857786|1032631020020714500|-2.120492086|1032631020020714500_59519.568_121029288_269_target|1032631020020714500_59519.568_121029288_269_ref|1032631020020714500_59519.568_121029288_269_diff|59519.5684023011
11KYSEhsj|0.421013||95.132686|-0.8164106321102307|52.61829|0.120898|20.4663|SN|POSSIBLE|1237660239777956003|i|0.849322|SDSS/LASR|2021-11-01|0.021846||52.6233451794767|1033029590004859000|-0.82402|1033029590004859000_59519.568_121029308_242_target|1033029590004859000_59519.568_121029308_242_ref|1033029590004859000_59519.568_121029308_242_diff|59519.5684023011
11KYSEhsf|0.244898||494.324077|-0.899427136761785|52.503719|0.160473|20.6612|SN|POSSIBLE|1237666299482800321|i|0.673098|SDSS/2MASS/PS1|2021-11-01|0.106899||52.50416692907817|1033000990005358000|-0.897864|1033000990005358000_59519.568_121029308_286_target|1033000990005358000_59519.568_121029308_286_ref|1033000990005358000_59519.568_121029308_286_diff|59519.5684023011
11KYSEhsm|0.911436|||49.06796322767164|131.710849836|0.082522|20.4168|SN|POSSIBLE|166881317108024124|r|0.980774|PS1|2021-11-01|||131.71076469253788|1084650571490404600|49.06955053|1084650571490404600_59519.637_121036195_205_target|1084650571490404600_59519.637_121036195_205_ref|1084650571490404600_59519.637_121036195_205_diff|59519.6370221948
11KYSEhsl|0.0440932||1015.828596|52.73141928839452|140.73717045268015|0.139778|20.4706|NT|POSSIBLE|2MASXJ09225696+5243528|r|0.438568|NED/SDSS|2021-11-01|0.206516||140.7371825663644|1092256911524352900|52.73149426666585|1092256911524352900_59519.637_121036338_218_target|1092256911524352900_59519.637_121036338_218_ref|1092256911524352900_59519.637_121036338_218_diff|59519.6379405266
11KYSEhso|0.130772|||52.42556122331533|139.124597748|0.142345|21.0713|SN|POSSIBLE|SDSSJ091629.91+522531.1|r|0.588422|NED/SDSS/PS1|2021-11-01|||139.1240786813699|1091629781522532100|52.42539396|1091629781522532100_59519.637_121036325_327_target|1091629781522532100_59519.637_121036325_327_ref|1091629781522532100_59519.637_121036325_327_diff|59519.6379405266
11JYSEhop|0.500807|PS21luc||-25.108918755084982|67.45002378|0.151248|20.7149|SN|GOOD|77870674500291275|g|0.803122|PS1|2021-10-31||2021acze|67.45047923042115|1042948090250632100|-25.107579262|1042948090250632100_59518.514_120978362_415_target|1042948090250632100_59518.514_120978362_415_ref|1042948090250632100_59518.514_120978362_415_diff|59518.5141502953
11JYSEhpp|0.610986|PS21lrv||-14.740087507334986|13.228070257999999|0.154986|20.7448|SN|GOOD|90310132281052351|i|0.664393|PS1|2021-10-31||2021acvo|13.228243667045305|1005254780144424400|-14.740008682000001|1005254780144424400_59518.423_120969496_239_target|1005254780144424400_59518.423_120969496_239_ref|1005254780144424400_59518.423_120969496_239_diff|59518.4233678224
11JYSEhpn|0.577359|PS21lrt||-14.98189139075421|16.438119112|0.175683|20.4674|SN|GOOD|90020164381382062|g|0.992611|PS1|2021-10-31||2021acvm|16.43796976258311|1010545110145854800|-14.981976248|1010545110145854800_59518.421_120969292_91_target|1010545110145854800_59518.421_120969292_91_ref|1010545110145854800_59518.421_120969292_91_diff|59518.4215292571
11JYSEhpo|0.818178|PS21lru||-15.253472594447942|21.706815186|0.0942527|19.8955|SN|GOOD|89690217067856162|i|0.991617|PS1|2021-10-31||2021acvn|21.70685975366061|1012649640151512600|-15.253443954|1012649640151512600_59518.425_120969701_37_target|1012649640151512600_59518.425_120969701_37_ref|1012649640151512600_59518.425_120969701_37_diff|59518.4251140384
11JYSEhoo|0.555932|PS21lof||-20.928303909898357|67.291003512|0.129475|20.8167|SN|GOOD|82880672909885921|g|0.993652|PS1|2021-10-31|||67.28997205453747|1042909590205541700|-20.928682128|1042909590205541700_59518.515_120978650_202_target|1042909590205541700_59518.515_120978650_202_ref|1042909590205541700_59518.515_120978650_202_diff|59518.5155523088
11JYSEhpx|0.374137|PS21lrw||-4.3759381748144985|317.70348633599997|0.17101|21.0603|SN|GOOD|1237679076960043793|g|0.509678|SDSS/PS1|2021-10-31||2021acvp|317.70344985101326|1211048820042233300|-4.37615844|1211048820042233300_59518.212_120945362_517_target|1211048820042233300_59518.212_120945362_517_ref|1211048820042233300_59518.212_120945362_517_diff|59518.2126732898
11JYSEhon|0.123197|||-25.108875770506124|67.45002378|0.151248|20.7149|SN|POSSIBLE|77870674500291275|g|0.597896|PS1|2021-10-31|||67.45051740854923|1042948130250631800|-25.107579262|1042948130250631800_59518.514_120978362_415_target|1042948130250631800_59518.514_120978362_415_ref|1042948130250631800_59518.514_120978362_415_diff|59518.5141502953
11JYSEhox|0.0791547||157.0|-8.532649231630806|66.44571527800001|0.153628|19.5503|NT|POSSIBLE|2MASXJ04254697-0831580|i||NED/NED_D/GSC/PS1|2021-10-31|0.040868||66.44564966756734|1042546950083157200|-8.532704864|1042546950083157200_59518.558_120980908_168_target|1042546950083157200_59518.558_120980908_168_ref|1042546950083157200_59518.558_120980908_168_diff|59518.5614129651
11JYSEhoz|0.23718||420.874523|-10.3789940050953|59.3613333333|0.252122|20.9176|NT|POSSIBLE|2MASXJ03572672-1022441|g||NED|2021-10-31|0.091934||59.36122056952964|1035726690102244600|-10.379|1035726690102244600_59518.556_120980685_221_target|1035726690102244600_59518.556_120980685_221_ref|1035726690102244600_59518.556_120980685_221_diff|59518.5565590337
11JYSEhpq|0.27342|||-15.227970043993707|15.568157537006995|0.11617|19.7684|SN|POSSIBLE|01021634-1513408|i|0.501857|2MASS/PS1/GAIA|2021-10-31|||15.568215669012103|1010216370151341000|-15.228018813134346|1010216370151341000_59518.423_120969511_32_target|1010216370151341000_59518.423_120969511_32_ref|1010216370151341000_59518.423_120969511_32_diff|59518.4233678224
11JYSEhpd|0.0558143|||-28.842435158853235|54.11044884|0.237109|21.16|SN|POSSIBLE|73380541103599536|g|0.457792|PS1|2021-10-31|||54.11048616804169|1033626520285032700|-28.842337706000002|1033626520285032700_59518.514_120978392_93_target|1033626520285032700_59518.514_120978392_93_ref|1033626520285032700_59518.514_120978392_93_diff|59518.5146513254
11JYSEhpe|0.0504804|||-26.004888778025656|66.489250256|0.225599|21.1179|SN|POSSIBLE|76790664891824578|g|0.467871|PS1|2021-10-31|||66.48923430250176|1042557400260017400|-26.004894986|1042557400260017400_59518.514_120978350_238_target|1042557400260017400_59518.514_120978350_238_ref|1042557400260017400_59518.514_120978350_238_diff|59518.5141502953
11JYSEhpb|0.136237|||-10.791691870865424|58.547577|0.0992412|19.7724|SN|POSSIBLE|03541141-1047302|i||2MASS/GAIA/PS1|2021-10-31|||58.54750564601388|1035411400104730300|-10.791741|1035411400104730300_59518.556_120980652_25_target|1035411400104730300_59518.556_120980652_25_ref|1035411400104730300_59518.556_120980652_25_diff|59518.5592338183
11JYSEhpr|0.997139||242.480798|-15.51650445055689|17.256875|0.0296813|17.249|SN|POSSIBLE|[MWR99]610-01085|i|0.996295|NED|2021-10-31|0.054371||17.24815335185452|1010859550153059400|-15.5144166667|1010859550153059400_59518.424_120969615_20_target|1010859550153059400_59518.424_120969615_20_ref|1010859550153059400_59518.424_120969615_20_diff|59518.4242404089
11JYSEhpg|0.295105|||0.1358561404962591|36.093605994|0.128408|20.947|SN|POSSIBLE|1237663784213217673|g|0.456395|SDSS/PS1|2021-10-31|||36.09357017312041|1022422441000809100|0.135887882|1022422441000809100_59518.429_120970520_158_target|1022422441000809100_59518.429_120970520_158_ref|1022422441000809100_59518.429_120970520_158_diff|59518.4290258746
11JYSEhoy|0.526413|||-7.907920467831178|66.369671598|0.112848|20.6542|SN|POSSIBLE|04252874-0754281|i||2MASS/PS1|2021-10-31|||66.36964227340094|1042528720075428400|-7.90783122|1042528720075428400_59518.558_120980932_224_target|1042528720075428400_59518.558_120980932_224_ref|1042528720075428400_59518.558_120980932_224_diff|59518.5614129651
11JYSEhqb|0.113211|||-4.343494709798379|313.792833|0.0962692|20.5025|SN|POSSIBLE|2MASSJ20551028-0420325|r|0.497104|NED|2021-10-31|||313.79050471282244|1205509710042036400|-4.34236|1205509710042036400_59518.209_120944923_962_target|1205509710042036400_59518.209_120944923_962_ref|1205509710042036400_59518.209_120944923_962_diff|59518.2091131862
11JYSEhpw|0.056878|||-0.12468547735433286|310.16836633829416|0.0773461|20.3491|SN|POSSIBLE|1237663543137339005|r|0.442877|SDSS|2021-10-31|||310.16754786802795|1204040210000728900|-0.12450476641529207|1204040210000728900_59518.208_120944873_1118_target|1204040210000728900_59518.208_120944873_1118_ref|1204040210000728900_59518.208_120944873_1118_diff|59518.2086618095
11JYSEhpa|0.268723|||-7.5512553382162695|67.01800844|0.146909|21.416|SN|POSSIBLE|98930670180298721|i||PS1|2021-10-31|||67.0160001931863|1042803850073304400|-7.5513761520000005|1042803850073304400_59518.561_120981561_577_target|1042803850073304400_59518.561_120981561_577_ref|1042803850073304400_59518.561_120981561_577_diff|59518.5614129651
11JYSEhre|0.882186|||-4.514632897735059|312.90566180999997|0.128964|20.8054|SN|POSSIBLE|102583129057103897|g|0.992731|PS1|2021-10-31|||312.90585402228123|1205137400043052500|-4.513748952|1205137400043052500_59518.211_120945226_478_target|1205137400043052500_59518.211_120945226_478_ref|1205137400043052500_59518.211_120945226_478_diff|59518.2118051476
11JYSEhqq|0.299537|||-4.787196043871733|313.01899548800003|0.176706|21.0527|SN|POSSIBLE|102253130189146807|g|0.508287|PS1|2021-10-31|||313.0197326376316|1205204740044713900|-4.786390174|1205204740044713900_59518.211_120945226_633_target|1205204740044713900_59518.211_120945226_633_ref|1205204740044713900_59518.211_120945226_633_diff|59518.2118051476
11JYSEhql|0.156274|||-4.509173079145118|312.92210485|0.181377|21.205|SN|POSSIBLE|102593129223080189|g|0.538505|PS1|2021-10-31|||312.923421795064|1205141620043033000|-4.508445856|1205141620043033000_59518.211_120945226_583_target|1205141620043033000_59518.211_120945226_583_ref|1205141620043033000_59518.211_120945226_583_diff|59518.2118051476
11JYSEhqd|0.244247|||-4.323632471772319|310.257456006|0.192321|21.0316|SN|POSSIBLE|102813102574793666|g|0.951839|PS1|2021-10-31|||310.2570484973674|1204101680041925100|-4.322268516|1204101680041925100_59518.210_120945142_722_target|1204101680041925100_59518.210_120945142_722_ref|1204101680041925100_59518.210_120945142_722_diff|59518.2109133783
11JYSEhqg|0.410894|||-4.402664323726823|310.8485|0.148964|20.7244|SN|POSSIBLE|GALEXMSCJ204323.64-042408.1|g|0.999839|NED|2021-10-31|||310.8492545567806|1204323820042409700|-4.40228|1204323820042409700_59518.210_120945140_651_target|1204323820042409700_59518.210_120945140_651_ref|1204323820042409700_59518.210_120945140_651_diff|59518.2109133783
11JYSEhqo|0.396426|||-4.410033137638995|317.0385621210664|0.24321|21.2495|SN|POSSIBLE|1237680189356246997|g|0.606812|SDSS|2021-10-31|||317.0387555854084|1210809300042436200|-4.4099092490447775|1210809300042436200_59518.212_120945348_475_target|1210809300042436200_59518.212_120945348_475_ref|1210809300042436200_59518.212_120945348_475_diff|59518.2126732898
11JYSEhrc|0.484784|||-4.566125860177816|316.7057799266121|0.192349|20.9747|SN|POSSIBLE|1237680189356114937|g|0.95724|SDSS|2021-10-31|||316.7051628704827|1210649240043358100|-4.565758335171599|1210649240043358100_59518.212_120945344_552_target|1210649240043358100_59518.212_120945344_552_ref|1210649240043358100_59518.212_120945344_552_diff|59518.2126732898
11JYSEhqc|0.549143|||-3.8991855674458216|315.18721524800003|0.176177|21.4253|SN|POSSIBLE|103323151872021174|g|0.871651|PS1|2021-10-31|||315.18631052625733|1210044720035356900|-3.8993441300000002|1210044720035356900_59518.211_120945266_738_target|1210044720035356900_59518.211_120945266_738_ref|1210044720035356900_59518.211_120945266_738_diff|59518.2118051476
11JYSEhqh|0.568562|||-4.808121630036047||0.0691617|19.823|ORPHAN|POSSIBLE||g|0.498529||2021-10-31|||314.1908432566538|1205645800044829100||1205645800044829100_59518.211_120945246_489_target|1205645800044829100_59518.211_120945246_489_ref|1205645800044829100_59518.211_120945246_489_diff|59518.2118051476
11JYSEhqe|0.426706|||-4.148591054651232|311.456758328|0.154486|21.0918|SN|POSSIBLE|103023114567451414|g|0.965338|PS1|2021-10-31|||311.4564451717284|1204549550040855000|-4.149172532|1204549550040855000_59518.210_120945139_785_target|1204549550040855000_59518.210_120945139_785_ref|1204549550040855000_59518.210_120945139_785_diff|59518.2109133783
11JYSEhpz|0.0694827|||-4.175224977551165|311.455945396|0.178074|21.2822|SN|POSSIBLE|102983114559439745|g|0.631368|PS1|2021-10-31|||311.4566503057112|1204549590041030700|-4.175567464|1204549590041030700_59518.210_120945139_787_target|1204549590041030700_59518.210_120945139_787_ref|1204549590041030700_59518.210_120945139_787_diff|59518.2109133783
11JYSEhqi|0.545017|||-4.396587189907298|317.147030576|0.210718|20.7689|SN|POSSIBLE|102723171470424718|g|0.957529|PS1|2021-10-31|||317.14619454042344|1210835080042347800|-4.396313602|1210835080042347800_59518.212_120945347_430_target|1210835080042347800_59518.212_120945347_430_ref|1210835080042347800_59518.212_120945347_430_diff|59518.2126732898
11JYSEhqp|0.117636|||-4.058375213228873|317.9845839159945|0.245408|21.7149|SN|POSSIBLE|1237680189893510936|g|0.42774|SDSS/PS1|2021-10-31|||317.9844116567914|1211156260040330000|-4.057478218153779|1211156260040330000_59518.212_120945361_670_target|1211156260040330000_59518.212_120945361_670_ref|1211156260040330000_59518.212_120945361_670_diff|59518.2126732898
11JYSEhpt|0.141879|||-4.493294911886972|309.799777886|0.259214|21.6568|UNCLEAR|POSSIBLE|102603097997778152|g|0.50613|PS1|2021-10-31|||309.7997969156297|1203911950042935800|-4.4935537839999995|1203911950042935800_59518.210_120945135_710_target|1203911950042935800_59518.210_120945135_710_ref|1203911950042935800_59518.210_120945135_710_diff|59518.2109133783
11JYSEhpu|0.500182|||-4.5371493544275125||0.159641|20.6528|ORPHAN|POSSIBLE||g|0.454872||2021-10-31|||317.1745380013035|1210841890043213700||1210841890043213700_59518.212_120945342_486_target|1210841890043213700_59518.212_120945342_486_ref|1210841890043213700_59518.212_120945342_486_diff|59518.2126732898
11JYSEhrf|0.976529|||-0.7907626820491139|309.79148333063756|0.0776914|20.4622|SN|POSSIBLE|1237656567573973599|g|0.999888|SDSS|2021-10-31|||309.79221646601576|1203910130004726600|-0.7906843503028563|1203910130004726600_59518.211_120945168_831_target|1203910130004726600_59518.211_120945168_831_ref|1203910130004726600_59518.211_120945168_831_diff|59518.2113487375
11JYSEhqf|0.711995|||-0.7902548290692362|309.796427062|0.115462|20.9769|SN|POSSIBLE|107053097964113963|g|0.970217|PS1|2021-10-31|||309.7960071510172|1203911030004724800|-0.788734642|1203911030004724800_59518.211_120945168_895_target|1203911030004724800_59518.211_120945168_895_ref|1203911030004724800_59518.211_120945168_895_diff|59518.2113487375
11JYSEhqj|0.70221|||-0.7984184170380744|309.819971386|0.120748|20.9636|SN|POSSIBLE|107043098200001663|g|0.881647|PS1|2021-10-31|||309.82116925904853|1203917070004754200|-0.798935874|1203917070004754200_59518.211_120945168_958_target|1203917070004754200_59518.211_120945168_958_ref|1203917070004754200_59518.211_120945168_958_diff|59518.2113487375
11JYSEhrb|0.235754|||-0.4622847451977957|310.588043684|0.217062|21.2041|SN|POSSIBLE|107443105880505710|g|0.474147|PS1|2021-10-31|||310.58851275072686|1204221230002744200|-0.46221363800000004|1204221230002744200_59518.211_120945195_916_target|1204221230002744200_59518.211_120945195_916_ref|1204221230002744200_59518.211_120945195_916_diff|59518.2113487375
11JYSEhqa|0.709958|||-0.7701154576091226|309.816680134|0.0961066|20.801|SN|POSSIBLE|107073098166856163|g|0.999891|PS1|2021-10-31|||309.8156829500913|1203915760004612400|-0.770223986|1203915760004612400_59518.211_120945168_949_target|1203915760004612400_59518.211_120945168_949_ref|1203915760004612400_59518.211_120945168_949_diff|59518.2113487375
11JYSEhpv|0.17839|||-1.2489430549567557||0.28505|20.9734|ORPHAN|POSSIBLE||g|0.489687||2021-10-31|||317.85193160816|1211124470011456000||1211124470011456000_59518.213_120945394_294_target|1211124470011456000_59518.213_120945394_294_ref|1211124470011456000_59518.213_120945394_294_diff|59518.2131108
11JYSEhqm|0.442623|||-1.3394899335727497||0.277783|21.1195|ORPHAN|POSSIBLE||g|0.504772||2021-10-31|||315.2782792627901|1210106790012022100||1210106790012022100_59518.212_120945301_427_target|1210106790012022100_59518.212_120945301_427_ref|1210106790012022100_59518.212_120945301_427_diff|59518.2122403407
11JYSEhrd|0.108732|||-1.126565276373868|316.8718181033114|0.290729|21.2938|SN|POSSIBLE|1237656567040246822|g|0.545386|SDSS|2021-10-31|||316.87293466909796|1210729500010735600|-1.1253379100133423|1210729500010735600_59518.213_120945400_564_target|1210729500010735600_59518.213_120945400_564_ref|1210729500010735600_59518.213_120945400_564_diff|59518.2131108
11JYSEhpy|0.488295|||-0.8015835608866703|315.419279186|0.22325|21.115|SN|POSSIBLE|107033154193648305|g|0.715614|PS1|2021-10-31|||315.41947671204537|1210140670004805700|-0.801684922|1210140670004805700_59518.212_120945313_568_target|1210140670004805700_59518.212_120945313_568_ref|1210140670004805700_59518.212_120945313_568_diff|59518.2122403407
11JYSEhqk|0.240609|||-0.2320294251170391|312.056252638|0.135842|21.2742|SN|POSSIBLE|107723120562050255|g|0.463695|PS1|2021-10-31|||312.05641365182623|1204813530001355300|-0.233510868|1204813530001355300_59518.211_120945197_989_target|1204813530001355300_59518.211_120945197_989_ref|1204813530001355300_59518.211_120945197_989_diff|59518.2113487375
11JYSEhqn|0.753373||650.475622|-0.513683552433601|319.208996894|0.209671|20.8825|SN|POSSIBLE|SDSSJ211650.16-003052.5|g|0.899315|NED/SDSS/PS1|2021-10-31|0.137865||319.2063525559472|1211649520003049300|-0.514557856|1211649520003049300_59518.213_120945426_411_target|1211649520003049300_59518.213_120945426_411_ref|1211649520003049300_59518.213_120945426_411_diff|59518.2131108
11JYSEhrg|0.556009||353.7904315|0.04752470211116641|309.7785174999089|0.128117|20.7365|NT|POSSIBLE|1237656568647714164|g|0.719298|SDSS|2021-10-31|0.0780205||309.77854269591717|1203906851000251000|0.047403899956623544|1203906851000251000_59518.211_120945203_473_target|1203906851000251000_59518.211_120945203_473_ref|1203906851000251000_59518.211_120945203_473_diff|59518.2113487375
