local_designation|rb_factor_catalogue|ps1_designation|sherlock_distancempc|dec_psf|sherlock_host_ra|psf_inst_mag_sig|cal_psf_mag|sherlockClassification|detection_list_id|sherlock_object_id|filter|rb_factor_image|sherlock_tables|followup_flag_date|sherlock_specz|tns_name|ra_psf|id|sherlock_host_dec|target|ref|diff|mjd_obs
10EYSEdqw|0.996933|PS20dar|202.6619378|27.16169586088423|242.7147726681235|0.187083|20.8059|SN|CONFIRMED|1237662619189444802|i|0.999973|SDSS/PS1/GLADE/2MASS/GSC|2020-05-14|0.0457263||242.7149451655435|1161051591270942000|27.15831224702046|1161051591270942000_58983.525_104022686_239_target|1161051591270942000_58983.525_104022686_239_ref|1161051591270942000_58983.525_104022686_239_diff|59106.2446595207
10EYSEdrp|0.37909|PS20dau||36.60347923801915|239.958550818|0.37188|21.6502|SN|GOOD|151922399585614848|r|0.859305|PS1|2020-05-14||2020jxj|239.9584624586878|1155950031363612200|36.603490152|1155950031363612200_58983.481_104017062_152_target|1155950031363612200_58983.481_104017062_152_ref|1155950031363612200_58983.481_104017062_152_diff|59373.3366204347
10EYSEdrr|0.191286|PS20dav|3883.689|30.95174571537629|243.83005143433314|0.239458|21.7469|SN|GOOD|RCS08210501723|r|0.818169|NED/SDSS|2020-05-14|0.649|2020jxk|243.8316387219911|1161519581305706400|30.95080861329004|1161519581305706400_58983.484_104017400_558_target|1161519581305706400_58983.484_104017400_558_ref|1161519581305706400_58983.484_104017400_558_diff|59408.3963663493
10EYSEdsh|0.148706|PS20daw||26.822981487613323|239.6051347042572|0.215097|20.082|NT|GOOD|1237662339475833231|z|0.477864|SDSS/GAIA/2MASS|2020-05-14||2020jxl|239.60514036928677|1155825221264922800|26.82297172117441|1155825221264922800_58983.524_104022305_385_target|1155825221264922800_58983.524_104022305_385_ref|1155825221264922800_58983.524_104022305_385_diff|59442.2536526402
10EYSEdrq|0.160425|PS20caw||36.32401029707035|239.366019542|0.438605|21.0761|NT|GOOD|1237662498932588686|r|0.842701|SDSS/GAIA/PS1|2020-05-14|||239.3660686206681|1155727861361926100|36.324016344|1155727861361926100_58983.481_104017057_107_target|1155727861361926100_58983.481_104017057_107_ref|1155727861361926100_58983.481_104017057_107_diff|59454.2641522839
10EYSEdqy|0.613799|PS20das||1.6370799208836186|190.418483198|0.212443|21.184|SN|GOOD|1237671765324136619|r|0.999473|SDSS/PS1|2020-05-14|||190.41886119260027|1124140531013813400|1.63771664|1124140531013813400_58983.286_103994840_224_target|1124140531013813400_58983.286_103994840_224_ref|1124140531013813400_58983.286_103994840_224_diff|59022.2742645382
10EYSEdrg|0.836136|PS20dat|210.499|2.108801687838134|193.456|0.223793|20.6582|NT|GOOD|SDSSJ125349.49+020633.0|r|0.984811|NED/SDSS/GLADE|2020-05-14|0.0481||193.45608605267068|1125349461020631600|2.1091|1125349461020631600_58983.287_103994921_171_target|1125349461020631600_58983.287_103994921_171_ref|1125349461020631600_58983.287_103994921_171_diff|59231.6031360755
10EYSEdqh|0.0429153|PS20czu||2.99256231869926|153.0515045248568|0.224368|20.8034|SN|GOOD|1237654599954071886|g|0.418068|SDSS/PS1|2020-05-13||2019aacl|153.0515350533342|1101212381025933000|2.9925787937427524|1101212381025933000_58982.276_103953716_196_target|1101212381025933000_58982.276_103953716_196_ref|1101212381025933000_58982.276_103953716_196_diff|58986.2615869091
10EYSEdqp|0.934876|PS20czv||10.009641552321998|231.534741906|0.181203|20.9982|SN|GOOD|1237662636371739674|i|0.999884|SDSS/PS1|2020-05-13||2020jvi|231.53477303670127|1152608331100034600|10.009641208|1152608331100034600_58982.520_103979870_329_target|1152608331100034600_58982.520_103979870_329_ref|1152608331100034600_58982.520_103979870_329_diff|59065.2772066385
10EYSEdqf|0.12796|PS20czt|1049.949692|6.64378827917989|154.75278672124085|0.183313|20.3754|NT|GOOD|1237658299532443870|z|0.498837|SDSS|2020-05-13||2020jvh|154.7528148799724|1101900671063837500|6.643755293363939|1101900671063837500_58982.277_103953871_262_target|1101900671063837500_58982.277_103953871_262_ref|1101900671063837500_58982.277_103953871_262_diff|59212.6319083719
