sn_name,sn_ra,sn_dec,sherlock_host_ra,sherlock_host_dec,ghost_ra,ghost_dec,aperture_semi_major_axis
11KYSEhrw,318.6555059223573,10.123300872765284,318.65546200800003,10.123509542,318.65546373,10.12350754,3.2141305881714746
11KYSEhsn,131.58770404353717,43.270874846944935,131.5887494144073,43.271242998954285,131.58876037,43.27124877,0.0
11KYSEhrs,7.102088834021598,17.848256703770524,7.102588906,17.847452206,7.10261482,17.84745307,0.0
11KYSEhru,357.2869174269516,24.68421645373879,357.2871004754739,24.68419011699148,357.28710983,24.6841968,0.0
11KYSEhsk,132.22113337652397,49.3495253631714,132.220875,49.34975,132.22094983,49.34976489,0.0
11KYSEhrv,318.6568624056223,14.608951738510145,318.65605399,14.607423954,318.65604947,14.60742212,0.0
11KYSEhrm,317.52138679067605,13.163049156031706,317.52136214,13.1630919825,317.52316409,13.16532617,0.0
11KYSEhrz,-0.2450300991897435,20.0126453885124,359.755313788,20.010967142,359.75531622,20.01094846,0.0
11KYSEhrh,6.982368336118695,20.516717710391823,6.981664588,20.516725732,6.98558931,20.52144868,0.0
11KYSEhrl,6.36541544773376,27.48108566162761,6.36661259924756,27.48342816944118,6.36659254,27.48344624,0.0
11KYSEhry,2.886931700095114,27.64618214776955,2.886329626,27.647750686,2.88635508,27.64773058,0.0
11KYSEhsb,2.8597329134696725,27.614998835324457,2.86238415,27.614535356,2.86367998,27.61766552,0.0
11KYSEhrq,2.735484391540409,28.697262124209004,2.735391653414581,28.69715924115571,2.73537838,28.697173,0.0
11KYSEhsc,324.82569549140965,10.368201092214688,324.822723,10.36307,324.82281276,10.36297198,0.0
11KYSEhsh,51.62928368857786,-2.1206991871096665,51.628270626,-2.120492086,51.62825853,-2.12056445,0.0
11KYSEhsf,52.50416692907817,-0.899427136761785,52.503719,-0.897864,52.50368012,-0.89781602,0.0
11KYSEhsl,140.7371825663644,52.73141928839452,140.73717045268015,52.73149426666585,140.73716666,52.73151367,0.0
11KYSEhso,139.1240786813699,52.42556122331533,139.124597748,52.42539396,139.12464074,52.42546516,0.0
11JYSEhop,67.45047923042115,-25.108918755084986,67.45002378,-25.107579262,67.45051672,-25.10892446,0.0
11JYSEhpp,13.228243667045303,-14.740087507334986,13.228070258,-14.740008682,13.22807991,-14.74000167,0.0
11JYSEhpn,16.43796976258311,-14.98189139075421,16.438119112,-14.981976248,16.43811858,-14.98197105,0.0
11JYSEhpo,21.70685975366061,-15.253472594447942,21.706815186,-15.253443954,21.7068437,-15.25344569,0.0
11JYSEhoo,67.28997205453747,-20.92830390989836,67.291003512,-20.928682128,67.29100615,-20.92869579,0.0
11JYSEhpx,317.70344985101326,-4.3759381748144985,317.703486336,-4.37615844,317.70347992,-4.376158,0.0
11JYSEhon,67.45051740854923,-25.108875770506124,67.45002378,-25.107579262,67.45051672,-25.10892446,0.0
11JYSEhox,66.44564966756734,-8.532649231630806,66.44571527800001,-8.532704864,66.44865224,-8.52809456,0.0
11JYSEhoz,59.36122056952964,-10.3789940050953,59.3613333333,-10.379,59.3612887,-10.37904427,0.0
11JYSEhpq,15.568215669012105,-15.227970043993707,15.568157537006996,-15.228018813134346,15.56811092,-15.22799726,0.0
11JYSEhpd,54.11048616804169,-28.842435158853235,54.11044884,-28.842337706,54.11045422,-28.84239479,0.0
11JYSEhpe,66.48923430250176,-26.004888778025656,66.489250256,-26.004894986,66.48922516,-26.00483745,0.0
11JYSEhpb,58.54750564601388,-10.791691870865424,58.547577,-10.791741,58.54750381,-10.79170123,0.0
11JYSEhpg,36.09357017312041,0.1358561404962591,36.093605994,0.135887882,36.09356986,0.13588623,0.0
11JYSEhoy,66.36964227340094,-7.907920467831178,66.369671598,-7.90783122,66.36968253,-7.90782968,0.0
11JYSEhqq,313.0197326376316,-4.787196043871733,313.01899548800003,-4.786390174,313.0195887,-4.78804549,0.0
11JYSEhrc,316.7051628704827,-4.566125860177816,316.7057799266121,-4.565758335171599,316.70572757,-4.56572317,0.0
11JYSEhqa,309.8156829500913,-0.7701154576091226,309.816680134,-0.770223986,309.81667791,-0.77023002,0.0
11JYSEhqn,319.2063525559472,-0.513683552433601,319.208996894,-0.514557856,319.20900227,-0.51457081,0.0
11JYSEhrg,309.7785426959172,0.0475247021111664,309.7785174999089,0.0474038999566235,309.77848587,0.04742046,0.0
11JYSEhos,53.14036485931521,-26.948092869498065,53.14040238,-26.948110978,53.14040858,-26.94809933,0.0
11JYSEhot,63.0242860087839,-24.88405516444467,63.024626322,-24.883221722,63.024659,-24.88320888,0.0
11JYSEhpf,57.72430131538461,-26.320891890404283,57.724654442,-26.32090845,57.72465129,-26.32092851,0.0
11JYSEhqs,62.13924059826059,-12.578849551257996,62.13909648,-12.578706852,62.13548628,-12.57831448,0.0
11JYSEhqv,63.23459554085368,-10.79157129840868,63.235137732,-10.79197651,63.23516136,-10.79194696,0.0
11JYSEhqw,63.08676962127627,-9.99440773182434,63.083742248,-9.992649026,63.08375378,-9.9926566,0.0
11JYSEhra,68.86764818892684,-7.503009587846014,68.86771000321137,-7.503229090954956,68.86768989,-7.50323801,0.0
11JYSEhnu,320.36792634651505,13.109681177055046,320.367879494,13.109643452,320.36788847,13.10963708,0.0
11JYSEhnt,356.9975527671052,24.198105858027056,356.997536664,24.1981276,356.9975364,24.19813199,0.0
11JYSEhnp,4.018154429905136,21.89115365031192,4.019091198,21.890887232,4.01908769,21.89088392,0.0
11JYSEhns,318.5642526500306,10.923722317469387,318.563274178,10.92523271,318.56512627,10.92460722,0.0
11JYSEhnw,324.42758123083433,13.966986955859792,324.427696092,13.96639514,324.42769589,13.96636635,0.0
11JYSEhnr,3.237283441975652,17.176331869105837,3.236860383735575,17.175467905156147,3.2368181,17.17545573,0.0
11JYSEhnq,6.560994957957125,17.223045815275178,6.559941532201947,17.222234222308764,6.5598729,17.22227093,0.0
11JYSEhoj,45.80145482436668,39.82205619781284,45.80146216099246,39.822125960796,45.80145868,39.82212675,0.0
11JYSEhoe,47.23027118147422,40.38458997070221,47.22910403,40.385633928,47.22900841,40.38640019,0.0
11JYSEhoh,47.262185267179554,40.36727917244688,47.256313,40.365757,47.25654965,40.36589627,0.0
11JYSEhno,310.6904417622678,-1.971128247899266,310.692657,-1.972602,310.69286441,-1.97267109,0.0
11JYSEhny,36.00306811045888,-3.99678915331765,36.002284452,-3.997434748,36.0022793,-3.99745186,0.0
11JYSEhnm,329.8673452751018,2.643973040843003,329.8665951475145,2.6439801395233293,329.86657432,2.64402513,0.0
11JYSEhng,16.786648898455432,-15.605586371301976,16.786585502,-15.604804876,16.78658362,-15.60476168,0.0
11JYSEhmv,311.7542144180172,-5.034558004177709,311.7542629080405,-5.034608628544373,311.75427448,-5.03456548,0.0
11JYSEhmy,316.8137686078053,-2.010708910087941,316.814046786,-2.01071174,316.81403286,-2.01069799,0.0
11JYSEhmu,313.9688862127903,-1.0829164330989245,313.968048888,-1.084124832,313.9720769,-1.08280982,0.0
11JYSEhni,329.42706766452886,2.697285970312893,329.4259585130037,2.6970578094009343,329.42714928,2.69985877,0.0
11JYSEhnn,321.65174864630296,9.717984820112854,321.6546344724752,9.711238373954572,321.6526349,9.71789477,0.0
11JYSEhnf,324.8393472167011,9.784060524164389,324.84000833,9.784049216,324.84000644,9.78406267,0.0
11JYSEhnh,324.8403966269748,13.90104331694251,324.839022708,13.900168354,324.83900342,13.90018916,0.0
11JYSEhmw,17.963881500335972,-19.48108905526112,17.964387098,-19.480949986,17.96436323,-19.48094275,0.0
11JYSEhne,22.84641214029234,-13.10314234732428,22.846357336,-13.10314387,22.84633214,-13.10694645,0.0
11JYSEhkx,357.01398229946994,24.14052412749989,357.014053799541,24.140628062919543,357.01405111,24.14065487,0.0
11JYSEhkv,7.48216881999115,20.56301918249773,7.484015,20.563194,7.4840308,20.56328214,0.0
11JYSEhku,17.811505209820062,1.8128541319905007,17.81032697603581,1.813410411317972,17.81029186,1.81343264,0.0
11JYSEhlg,39.74080218300788,38.25525422485813,39.741299752,38.256232072,39.74019637,38.25476004,0.0
11JYSEhkw,39.26762302788131,42.50538038819731,39.266563,42.505192,39.26634317,42.50541006,0.0
11JYSEhlv,7.567526054488752,24.740160928354538,7.566191846,24.739557856,7.56755746,24.74013982,0.0
11JYSEhmo,1.1876623436721925,17.245480780704906,1.2175,17.1925,1.18761363,17.2455252,0.0
11JYSEhly,6.57456260594812,25.66483789886864,6.574691,25.664717,6.57456707,25.66474031,0.0
11JYSEhmp,17.521933499831267,0.4191841891285118,17.5049166667,0.411777777778,17.5224898,0.41769666,0.0
11JYSEhmj,16.643538838464515,0.0052945797626833,16.6435833333,0.00527777777778,16.64353681,0.00528773,0.0
11JYSEhmi,3.09842050608847,18.203789080878305,3.099028644,18.202712748,3.09901484,18.20262157,0.0
11JYSEhmd,3.2635548372739107,16.764313917982673,3.263643316,16.764097878,3.26656543,16.76364271,0.0
11JYSEhmf,0.0601461550938126,17.506861509800103,0.0609544754745456,17.50815597684779,0.06094344,17.50813182,0.0
11JYSEhmh,4.640206281137605,17.303738497604673,4.640250166,17.303717218,4.63387311,17.30334381,0.0
11JYSEhlk,352.69763953390344,23.15579699956364,352.6973305043456,23.154600716017946,352.69732502,23.15462314,0.0
11JYSEhlm,352.81057254104223,23.175942105754388,352.8108858868865,23.17561945316398,352.81091525,23.17563624,0.0
11JYSEhlx,353.49202338724746,23.18828067746736,353.4889842032206,23.18776587536777,353.48897252,23.18772183,0.0
11JYSEhll,6.2267478100972,24.77320670946873,6.227998694288317,24.77374630466856,6.2279961,24.7737318,0.0
11JYSEhlq,0.2881330087114373,27.565844363344567,0.287421642,27.565776542,0.28738926,27.5657622,0.0
11JYSEhln,0.3898634555337059,27.5881189736821,0.393366,27.593178,0.3932038,27.59329365,0.0
11JYSEhlu,353.85236680133244,23.09946476244733,353.854208333,23.09983,353.85411527,23.1004196,0.0
11JYSEhlt,6.786848840838816,24.470850457912867,6.786677524,24.469790976,6.78668991,24.46979449,0.0
11JYSEhlf,38.4900244854411,40.7654103639392,38.490314324,40.762226118,38.49027775,40.76222156,0.0
11JYSEhlb,38.74879030054628,41.37700665558911,38.749124262,41.375869434,38.75060077,41.37488563,0.0
11JYSEhli,37.61121060381692,40.88744529898543,37.611215372,40.887478242,37.61121591,40.88744629,0.0
11JYSEhle,38.48671227139035,40.87090698835585,38.486708864,40.87115905,38.48664867,40.87115185,0.0
11JYSEhki,34.991347279565794,-3.2237029682517058,34.989728976,-3.224345276,34.98969948,-3.22432701,0.0
11JYSEhke,36.34432751791159,-7.840839748278332,36.346703126,-7.840151774,36.3467114,-7.84016724,0.0
11JYSEhkh,41.42321042650328,-0.5600604797216556,41.424818334,-0.560310538,41.42481365,-0.56028462,0.0
11JYSEhkg,40.30441975051789,0.5482827104204745,40.3044305,0.548233816,40.30445453,0.54822498,0.0
11JYSEhka,62.2364833065776,-9.04377673300288,62.236249066,-9.043972382,62.23626976,-9.0439774,0.0
11JYSEhkb,62.39911936828621,-8.164694047198996,62.397567982,-8.164507369999999,62.39755765,-8.16453431,0.0
11JYSEhkl,314.63651370575417,-0.9961696939522404,314.6365219351559,-0.9962208152331984,314.63652034,-0.99620434,0.0
11JYSEhkq,311.89942289291724,-3.1722565171139863,311.898514516,-3.171377968,311.89942001,-3.17227823,0.0
11JYSEhks,309.62122562267484,0.0483404365258584,309.62114964,0.048358468,309.62114158,0.04834409,0.0
11JYSEhjz,309.78771475750324,-4.917521621827572,309.752583,-4.97258,309.78898456,-4.91498556,0.0
11JYSEhkr,317.03923632081256,-4.434045972231806,317.038783854,-4.432424798,317.03877928,-4.43241627,0.0
11JYSEhkk,316.0231148582874,-4.578866435078404,316.021543988,-4.579245524,316.02154642,-4.57921326,0.0
11JYSEhkn,313.4195081782918,-1.3738517427195742,313.419597122,-1.374019722,313.41605873,-1.37624676,0.0
11JYSEhko,315.07821032798535,-0.9377884992683232,315.0794655175,-0.9374312425,315.07191983,-0.93920449,0.0
11JYSEhkm,315.3980581431263,-0.4385840745442129,315.39745315504547,-0.4385901553968559,315.39744243,-0.43857561,0.0
11JYSEhkd,35.49655820721201,-7.569416286815294,35.49607406,-7.568149312,35.49742317,-7.57159933,0.0
11JYSEhkj,35.99454620536194,-2.921553100815491,35.99457490778337,-2.92242413577442,35.99459808,-2.92243239,0.0
11JYSEhkc,41.9093934392138,-3.24873932323488,41.90823236346654,-3.2499377986135163,41.9081281,-3.24984728,0.0
11JYSEhjs,333.5215776022887,6.82455736337967,333.521083333,6.82839,333.52279935,6.8302912,0.0
11JYSEhju,335.32193694535493,6.873577645571496,335.3220178,6.873477278,335.32200621,6.87348312,0.0
11JYSEhjo,311.2986583227564,-2.9339584773519203,311.298037324,-2.935200534,311.29803518,-2.93520337,0.0
11JYSEhjt,315.1074308077794,0.2249025081071126,315.1080930784964,0.2256736989558842,315.10809219,0.22571054,0.0
11JYSEhjr,334.1707146408513,6.288732907029626,334.1695443910895,6.289011088653226,334.17382693,6.28676844,0.0
