sn name,sn_ra,sn_dec,host_ra,host_dec,ghost_host_ra,ghost_host_dec
2015I  ,7.296027777777778,23.34461111111111,7.294716944444445,23.356744444444445,,
2015M  ,,,,,,
,,,,,,
,,,,,,
2015ar ,1.1223277777777778,32.39994444444444,1.123599638888889,32.41255944444444,,
2015az ,3.161808333333333,40.97480555555556,3.161868333333333,40.97415555555556,,
,,,,,,
2016F  ,1.658897222222222,33.82668055555556,1.658659722222222,33.82440555555556,,
,,,,,,
2016J  ,,,,,,
ASASSN-16ah                  ,,,,,,
2016K  ,4.3633925,-15.755347222222222,4.3632277777777775,-15.755505555555557,4d21m56.02644s,-15d45m12.954852s
2016W  ,2.511025,42.23580555555556,2.5106955,42.23226638888889,2d30m40.032144s,42d14m01.179924s
ASASSN-16av                  ,,,,,,
,,,,,,
,,,,,,
2016ys ,7.203985,7.239783333333333,7.204202138888889,7.241038055555555,7d12m20.261916s,7d14m24.525348s
ASASSN-16bc                  ,12.090507222222223,-21.40033333333333,12.090249472222222,-21.399209166666665,,
,,,,,,
2016aew,14.190691944444444,1.285963888888889,14.19062,1.2865194444444443,,
2016aex,15.758420555555556,-13.152786111111112,15.758486944444444,-13.151586111111111,15d45m34.319232s,-13d08m56.406804s
,,,,,,
2016afk,,,,,,
2016ajf,3.331797222222222,41.56486111111111,3.3317119444444443,41.56340833333333,,
2016ajl,,,,,,
,,,,,,
2016aqa,11.397983333333332,-5.551805555555555,11.397995,-5.551847222222222,,
2016aqb,,,,,,
Gaia16agf                    ,,,,,,
2016aqt,13.764097222222222,26.7965,13.76414138888889,26.79651666666667,13d45m42.277248s,26d47m44.835324s
,,,,,,
2016aqz,,,,,,
ASASSN-16ci                  ,3.3225891666666665,41.49044722222222,3.322583333333333,41.49059166666667,,
2016asf,6.843536111111111,31.11237777777778,6.843564444444445,31.11683333333333,,
ASASSN-16ct                  ,15.231757222222225,4.7571916666666665,15.231751388888888,4.75715,,
,,,,,,
MASTER OT J142718.40-014031.0,14.45511111111111,-1.6752777777777776,14.455241944444444,-1.6785638888888887,14d26m56.865192s,-1d40m24.654252s
ASASSN-16cy                  ,,,,,,
2016ayg,7.504833333333333,25.032219444444443,7.504795277777778,25.03153888888889,,
SNhunt313                    ,11.157154722222222,29.573225,11.157166916666666,29.56923972222222,,
,,,,,,
2016bew,14.33835,-22.189061111111112,14.33805,-22.18852777777778,,
,,,,,,
,,,,,,
Gaia16acv                    ,11.997166666666663,54.80211111111111,11.997168055555557,54.80198611111111,11d59m40.199856s,54d48m08.837388s
ASASSN-16dn                  ,10.813732777777778,-20.26363333333333,10.813505555555556,-20.26225,,
,,,,,,
2016blg,13.453866666666666,-2.2700722222222223,13.453838055555554,-2.2708916666666665,,
,,,,,,
2016blh,,,,,,
2016blj,13.500227777777775,-27.9739,13.500330555555555,-27.974941666666663,,
2016blm,,,,,,
2016bln,13.579303333333334,13.853972222222222,13.582196944444444,13.83253888888889,13d34m46.6959s,13d51m24.844464s
,,,,,,
,,,,,,
2016bmc,19.17703527777778,37.65472777777778,19.177085277777778,37.65526111111111,19d10m53.969412s,37d39m10.334268s
ASASSN-16em                  ,13.537277222222222,84.67843055555556,13.537011111111113,84.67852777777779,,
,,,,,,
2016cby,10.33381138888889,56.46103888888889,10.333831388888887,56.461172222222224,,
2016ccj,17.173310833333336,26.39663611111111,17.17322916666667,26.397322222222225,,
,,,,,,
2016cck,17.593833333333333,8.808986111111112,17.593851388888886,8.810703333333334,,
,,,,,,
2016ccz,14.51923888888889,27.23605555555556,14.519163055555556,27.237291666666668,,
,,,,,,
ASASSN-16fo                  ,13.543281111111112,-5.272591666666667,13.54326886111111,-5.272679444444444,13d32m28.317768s,-5d16m28.6869s
2016coj,12.135222222222222,65.17719444444445,12.135004722222222,65.17413333333334,12d08m14.4816s,65d10m29.579988s
2016cor,15.742,16.303555555555555,15.74207722222222,16.30390277777778,,
ASASSN-16fs                  ,14.785105555555557,11.594977777777778,14.785089166666667,11.593805555555557,,
,,,,,,
2016cvn,,,,,,
2016cvv,,,,,,
PTSS-16ipw                   ,22.770227777777777,10.55925277777778,22.77011458333333,10.557088611111112,,
2016cxb,21.20648611111111,14.779194444444446,21.20648611111111,14.779194444444446,21d12m31.458492s,14d46m42.316356s
2016cyt,21.15995277777777,15.1255,21.160077972222226,15.124933611111112,,
ASASSN-16hc                  ,13.98457111111111,33.13897222222222,13.984427777777777,33.13811111111111,,
Gaia16aki                    ,15.986277777777778,14.6415,15.98621361111111,14.641527777777778,,
Gaia16alq                    ,,,,,,
,,,,,,
ASASSN-16hr                  ,22.425488611111117,38.98430555555556,22.42540888888889,38.983625,,
2016eky,,,,,,
,,,,,,
2016enx,1.2395111111111112,-13.153055555555556,1.2396472222222223,-13.154416666666666,,
2016eoa,0.3564166666666666,22.43563888888889,0.3562250833333333,22.433599722222223,,
,,,,,,
2016eqb,23.262633333333333,-1.3396472222222222,23.26267916666667,-1.3370944444444444,,
2016esh,16.070652777777777,16.690019444444445,16.070658333333334,16.690158333333333,,
2016euj,2.456027777777778,-23.92925,2.456061833333333,-23.92879027777778,,
,,,,,,
,,,,,,
2016fbk,1.7351583333333334,34.38283333333333,1.735593333333333,34.387233888888886,,
2016fbo,1.026538888888889,17.101194444444445,1.0266027777777778,17.10113888888889,,
,,,,,,
2016fff,22.61642777777778,-25.232119444444443,22.61750083333333,-25.236411111111117,,
2016ffh,,,,,,
2016gfr,18.32654722222222,23.78588888888889,18.326574722222222,23.78714888888889,18d19m44.233932s,23d47m10.384764s
2016ghq,18.308027777777777,36.31883333333334,18.308079916666667,36.32040055555556,18d18m50.9697s,36d19m12.115848s
2016gkt,23.99060555555556,-24.424083333333336,23.990720555555555,-24.42518888888889,,
2016glp,,,,,,
2016glz,,,,,,
,,,,,,
2016gmb,,,,,,
2016gmg,21.39495833333333,33.1146,21.39472463888889,33.1188675,,
2016gou,,,,,,
2016grz,1.9258194444444443,33.822972222222226,1.925837722222222,33.82260388888889,,
2016gsn,2.488188888888889,18.087875,2.4881111111111114,18.087805555555555,,
,,,,,,
2016gye,17.803438333333332,17.62543611111111,17.803410444444445,17.625254722222223,,
,,,,,,
2016hhv,23.59679722222222,20.708777777777776,23.596622777777775,20.70738055555556,,
2016hjk,2.5287230555555555,-25.001619444444444,2.528744,-25.00245111111111,,
2016hli,3.7273472222222224,46.159102777777775,3.7275127777777777,46.15544444444444,,
,,,,,,
2016hot,,,,,,
2016hpx,,,,,,
,,,,,,
2016hqf,,,,,,
2016htm,2.534061111111111,-26.665888888888887,2.5337058333333333,-26.666,,
,,,,,,
2016htn,2.191408333333333,-16.510305555555554,2.191174138888889,-16.51130638888889,2d11m13.368588s,-16d30m30.870252s
,,,,,,
2016ick,,,,,,
MASTER OT J013415.01-174843.9,,,,,,
2016ixf,10.662377777777778,15.034666666666666,10.662370722222224,15.034653888888888,,
2016iyv,9.003716666666667,-13.633952777777775,9.00366388888889,-13.634305555555557,,
,,,,,,
,,,,,,
2017dz ,,,,,,
2017hm ,11.552916666666668,-10.221777777777778,11.552938861111112,-10.228815555555556,11d32m59.181468s,-10d13m23.579724s
2017hn ,13.127616388888889,6.337563888888889,13.1276175,6.335872222222222,,
2017jl ,,,,,,
2017lc ,,,,,,
2017lm ,3.0256666666666665,-15.01598888888889,3.025662222222222,-15.017466666666667,3d01m35.223528s,-15d00m53.921772s
2017ln ,11.642716666666669,25.39633333333333,11.642698888888887,25.398097222222223,,
2017lv ,11.740702777777775,-28.457555555555555,11.740526388888888,-28.46211111111111,,
2017me ,11.465144444444444,27.34575,11.465358333333333,27.34715,11d27m41.039784s,27d20m48.889464s
2017mf ,14.27527777777778,39.586666666666666,14.27550075,39.58906805555556,,
2017ms ,10.4451,36.68048888888889,10.444997527777778,36.68144777777778,,
,,,,,,
2017mu ,9.510166388888887,21.411827777777777,9.5102,21.41038888888889,,
ASASSN-17bd                  ,15.988453333333332,13.61413611111111,15.988496944444444,13.613633333333333,15d59m18.21174s,13d36m56.168604s
